Date,Time,Open,High,Low,Close,Vol,OI
02/28/2019,17:00:00,2749.75000,2750.25000,2736.25000,2739.25000,1265597,2517873
03/01/2019,17:00:00,2740.25000,2762.75000,2737.50000,2759.50000,1265597,2510357
03/04/2019,17:00:00,2768.50000,2774.25000,2722.00000,2746.00000,1791972,2442313
03/05/2019,17:00:00,2745.25000,2753.50000,2737.75000,2746.00000,1203448,2422694
03/06/2019,17:00:00,2741.00000,2747.25000,2723.00000,2726.00000,1509846,2384998
03/07/2019,17:00:00,2724.75000,2730.75000,2692.75000,2704.00000,652144,527589
03/08/2019,17:00:00,2703.50000,2705.75000,2675.50000,2701.00000,1531907,920520
03/11/2019,17:00:00,2699.50000,2741.50000,2690.75000,2738.00000,1943336,1628211
03/12/2019,17:00:00,2739.00000,2752.25000,2734.50000,2746.25000,1789055,2080108
03/13/2019,17:00:00,2746.75000,2775.50000,2737.25000,2768.50000,1630657,2303495
03/14/2019,17:00:00,2769.75000,2774.00000,2757.50000,2761.25000,1247105,2367504
03/15/2019,17:00:00,2762.50000,2785.50000,2761.50000,2778.75000,1382358,2417944
03/18/2019,17:00:00,2776.00000,2791.00000,2773.00000,2789.50000,1036540,2435313
03/19/2019,17:00:00,2790.50000,2807.75000,2778.00000,2785.50000,1497577,2485162
03/20/2019,17:00:00,2786.25000,2798.25000,2766.25000,2776.00000,1693207,2487480
03/21/2019,17:00:00,2772.75000,2815.00000,2762.75000,2811.50000,1657949,2486193
03/22/2019,17:00:00,2808.50000,2813.75000,2754.25000,2759.75000,2254842,2459994
03/25/2019,17:00:00,2762.00000,2767.50000,2738.50000,2756.00000,1801326,2484528
03/26/2019,17:00:00,2757.50000,2784.00000,2755.00000,2772.00000,1461068,2484868
03/27/2019,17:00:00,2772.50000,2780.75000,2740.75000,2759.50000,1726746,2488083
03/28/2019,17:00:00,2756.00000,2773.25000,2744.00000,2770.00000,1491974,2484716
03/29/2019,17:00:00,2769.50000,2789.75000,2769.25000,2786.75000,1491974,2485145
04/01/2019,17:00:00,2793.50000,2822.50000,2793.50000,2819.50000,1256933,2507319
04/02/2019,17:00:00,2817.50000,2822.75000,2811.25000,2816.00000,859942,2503607
04/03/2019,17:00:00,2815.00000,2838.25000,2814.25000,2828.75000,1240848,2520462
